estado_1,miles_de_personas_2008,miles_de_personas_2010,miles_de_personas_2012,miles_de_personas_2014,miles_de_personas_2016,miles_de_personas_2018,miles_de_personas_con_carencia_en_rezago_educativo_2008,miles_de_personas_con_carencia_en_rezago_educativo_2010,miles_de_personas_con_carencia_en_rezago_educativo_2012,miles_de_personas_con_carencia_en_rezago_educativo_2014,miles_de_personas_con_carencia_en_rezago_educativo_2016,miles_de_personas_con_carencia_en_rezago_educativo_2018,miles_de_personas_con_carencia_por_acceso_a_los_servicios_de_salud_2008,miles_de_personas_con_carencia_por_acceso_a_los_servicios_de_salud_2010,miles_de_personas_con_carencia_por_acceso_a_los_servicios_de_salud_2012,miles_de_personas_con_carencia_por_acceso_a_los_servicios_de_salud_2014,miles_de_personas_con_carencia_por_acceso_a_los_servicios_de_salud_2016,miles_de_personas_con_carencia_por_acceso_a_los_servicios_de_salud_2018,miles_de_personas_con_carencia_por_acceso_a_la_seguridad_social_2008,miles_de_personas_con_carencia_por_acceso_a_la_seguridad_social_2010,miles_de_personas_con_carencia_por_acceso_a_la_seguridad_social_2012,miles_de_personas_con_carencia_por_acceso_a_la_seguridad_social_2014,miles_de_personas_con_carencia_por_acceso_a_la_seguridad_social_2016,miles_de_personas_con_carencia_por_acceso_a_la_seguridad_social_2018,miles_de_personas_con_carencia_por_calidad_y_espacios_de_la_vivienda_2008,miles_de_personas_con_carencia_por_calidad_y_espacios_de_la_vivienda_2010,miles_de_personas_con_carencia_por_calidad_y_espacios_de_la_vivienda_2012,miles_de_personas_con_carencia_por_calidad_y_espacios_de_la_vivienda_2014,miles_de_personas_con_carencia_por_calidad_y_espacios_de_la_vivienda_2016,miles_de_personas_con_carencia_por_calidad_y_espacios_de_la_vivienda_2018,miles_de_personas_con_carencia_por_acceso_a_los_servicios_basicos_de_la_vivienda_2008,miles_de_personas_con_carencia_por_acceso_a_los_servicios_basicos_de_la_vivienda_2010,miles_de_personas_con_carencia_por_acceso_a_los_servicios_basicos_de_la_vivienda_2012,miles_de_personas_con_carencia_por_acceso_a_los_servicios_basicos_de_la_vivienda_2014,miles_de_personas_con_carencia_por_acceso_a_los_servicios_basicos_de_la_vivienda_2016,miles_de_personas_con_carencia_por_acceso_a_los_servicios_basicos_de_la_vivienda_2018,miles_de_personas_con_carencia_por_acceso_a_la_alimentacion_2008,miles_de_personas_con_carencia_por_acceso_a_la_alimentacion_2010,miles_de_personas_con_carencia_por_acceso_a_la_alimentacion_2012,miles_de_personas_con_carencia_por_acceso_a_la_alimentacion_2014,miles_de_personas_con_carencia_por_acceso_a_la_alimentacion_2016,miles_de_personas_con_carencia_por_acceso_a_la_alimentacion_2018,miles_de_personas_con_ingreso_inferior_a_la_linea_de_pobreza_extrema_por_ingresos_2008,miles_de_personas_con_ingreso_inferior_a_la_linea_de_pobreza_extrema_por_ingresos_2010,miles_de_personas_con_ingreso_inferior_a_la_linea_de_pobreza_extrema_por_ingresos_2012,miles_de_personas_con_ingreso_inferior_a_la_linea_de_pobreza_extrema_por_ingresos_2014,miles_de_personas_con_ingreso_inferior_a_la_linea_de_pobreza_extrema_por_ingresos_2016,miles_de_personas_con_ingreso_inferior_a_la_linea_de_pobreza_extrema_por_ingresos_2018,miles_de_personas_con_ingreso_inferior_a_la_linea_de_pobreza_por_ingresos_2008,miles_de_personas_con_ingreso_inferior_a_la_linea_de_pobreza_por_ingresos_2010,miles_de_personas_con_ingreso_inferior_a_la_linea_de_pobreza_por_ingresos_2012,miles_de_personas_con_ingreso_inferior_a_la_linea_de_pobreza_por_ingresos_2014,miles_de_personas_con_ingreso_inferior_a_la_linea_de_pobreza_por_ingresos_2016,miles_de_personas_con_ingreso_inferior_a_la_linea_de_pobreza_por_ingresos_2018
aguascalientes,1156.675,"1,198.08","1,238.28","1,273.85","1,309.93","1,342.59",209.07,206.604,189.674,182.829,182.68,175.471,268.286,235.96,182.749,159.027,159.039,153.113,639.88,590.189,589.785,550.192,529.365,568.166,92.261,82.377,61.115,42.198,71.495,61.456,39.674,57.023,42.957,45.662,29.957,33.443,232.624,242.185,266.331,274.526,225.242,174.374,162.53,177.895,184.044,164.404,125.289,118.768,524.327,553.705,592.99,556.472,508.799,489.562
baja_california,3118.675,"3,235.37","3,343.79","3,444.11","3,549.32","3,648.12",559.87,547.199,488.633,530.799,472.154,511.613,1016.345,"1,014.49",746.276,666.605,613.806,615.093,1718.343,"1,768.26","1,862.72","1,785.59","1,525.50","1,650.63",249.57,320.664,270.001,366.656,275.624,345.449,215.204,214.366,147.027,415.632,222.981,326.082,440.732,529.389,509.862,591.841,530.553,516.163,236.896,316.711,365.139,334.05,190.369,211.069,978.25,"1,225.22","1,298.11","1,211.65","1,028.04",1094.861
baja_california_sur,611.086,654.838,701.794,747.567,793.825,839.675,101.238,110.856,110.095,111.195,106.241,101.963,153.935,132.142,106.16,106.266,98.938,90.244,314.406,300.819,305.438,348.567,317.226,344.759,89.751,80.307,76.574,123.121,104.205,118.959,64.926,59.963,47.483,92.614,101.8,111.255,94.203,170.468,153.615,183.654,152.377,149.823,46.874,73.541,91.615,78.954,48.523,38.926,159.14,232.702,266.85,268.094,226.846,190.922
campeche,813.536,842.087,868.475,896.946,925.421,952.279,185.904,202.997,167.051,168.461,159.1,164.243,189.424,161.83,105.896,111.846,99.417,111.393,503.586,505.03,530.131,539.458,545.786,586.113,204.615,186.417,153.359,175.285,156.222,157.422,302.534,307.693,286.707,348.085,270.161,371.317,164.962,262.589,162.739,217.609,236.826,261.335,150.64,182.031,178.588,172.202,145.934,176.195,410.787,461.671,436.284,426.814,449.418,484.179
coahuila,2707.434,"2,790.03","2,862.14","2,935.85","3,005.81","3,073.51",370.99,339.361,358.056,366.682,370.729,358.695,630.104,490.155,412.297,457.143,384.74,405.746,1096.766,957.059,982.539,"1,003.98",918.968,933.258,140.145,122.491,154.51,146.126,155.561,136.396,147.715,167.515,158.762,163.802,164.906,119.29,456.126,579.486,606.03,646.778,484.671,561.435,306.511,319.581,333.402,346.351,264.914,199.006,1225.246,"1,134.74","1,164.07","1,211.11","1,137.60",1037.132
colima,632.705,663.719,689.208,713.154,739.454,763.3,117.453,124.486,129.906,124.491,120.261,127.038,107.564,108.887,100.538,90.544,87.737,82.712,354.49,370.108,349.909,370.201,352.93,373.186,70.279,80.042,69.247,77.799,84.152,71.683,38.596,65.015,54.313,68.401,63.766,80.391,90.729,131.822,153.608,181.457,156.289,165.042,46.864,56.786,78.599,75.398,59.132,74.091,195.565,262.688,280.378,290.285,300.103,276.898
chiapas,4781.485,"4,926.28","5,064.20","5,197.57","5,337.15","5,463.34","1,815.61","1,724.90","1,695.51","1,593.90","1,548.41","1,594.77","2,444.40","1,743.31","1,263.14","1,073.41",802.624,961.125,4084.467,"4,057.79","4,217.85","4,301.42","4,328.45","4,567.51","1,833.81","1,638.03","1,476.09","1,398.26","1,308.96","1,288.56","2,541.92","2,989.97","2,878.63","2,982.41","2,791.59","3,120.17","1,253.05","1,493.25","1,252.37","1,430.54","1,036.92","1,220.68","2,305.98","2,507.06","2,365.22","2,518.63","2,662.37","2,770.07","3,752.87","3,983.04","3,869.95","4,090.77","4,259.50",4311.445
chihuahua,3445.732,"3,534.39","3,610.06","3,679.91","3,757.01","3,826.88",641.05,617.777,579.97,635.129,591.617,578.978,1020.847,654.745,489.674,536.19,459.736,432.658,1925.136,"1,710.88","1,747.91","1,595.77","1,523.14","1,610.94",390.46,227.495,190.52,291.53,267.556,267.053,424.429,247.915,188.665,292.18,201.01,192.069,598.215,624.936,663.913,687.969,683.276,677.375,397.193,585.199,575.589,657.04,419.597,372.659,1357.307,"1,829.43","1,659.62","1,706.05","1,567.82",1397.648
ciudad_de_mexico,8929.236,"8,888.53","8,874.78","8,820.10","8,821.85","8,781.32",948.34,847.427,813.857,779.495,744.264,712.928,3245.282,"2,885.40","2,072.82","1,759.12","1,732.14","1,761.33","4,725.60","4,656.61","4,660.20","4,081.80","4,150.23","4,245.54",564.17,672.258,570.336,480.204,521.156,445.858,365.62,348.759,270.283,145.729,184.692,256.269,1390.492,"1,381.27","1,157.52","1,031.50","1,014.22","1,218.02",471.75,532.159,609.963,723.316,665.267,687.57,2915.27,"3,018.65","3,150.43","3,208.63","3,033.70",3364.43
durango,1633.855,"1,675.56","1,715.36","1,751.42","1,787.49","1,820.74",353.48,318.444,276.94,271.504,257.888,246.856,608.446,460.313,305.646,289.731,251.904,237.839,963.272,983.006,993.712,897.706,876.595,875.738,192.27,190.074,160.766,100.941,125.429,86.996,287.564,310.271,223.716,227.354,144.625,102.98,359.669,339.521,367.384,349.253,332.247,341.694,327.123,391.393,428.513,363.376,228.798,262.012,925.638,"1,010.88","1,049.55",944.873,811.205,866.94
